,Edad,Sexo,Trabajo,Alojamiento,Cuenta de ahorros,Monto de credito,Duracion,Proposito,Riesgo
0,67,M,2,propio,NA,1169,6,radio/TV,bueno
1,22,F,2,propio,poco,5951,48,radio/TV,malo
2,49,M,1,propio,poco,2096,12,educacion,bueno
3,45,M,2,gratis,poco,7882,42,inmoviliario/equipo,bueno
4,53,M,2,gratis,poco,4870,24,carro,malo
5,35,M,1,gratis,NA,9055,36,educacion,bueno
6,53,M,2,propio,casi rico,2835,24,inmoviliario/equipo,bueno
7,35,M,3,rentado,poco,6948,36,carro,bueno
8,61,M,1,propio,rico,3059,12,radio/TV,bueno
9,28,M,3,propio,poco,5234,30,carro,malo
10,25,F,2,rentado,poco,1295,12,carro,malo
11,24,F,2,rentado,poco,4308,48,negocios,malo
12,22,F,2,propio,poco,1567,12,radio/TV,bueno
13,60,M,1,propio,poco,1199,24,carro,malo
14,28,F,2,rentado,poco,1403,15,carro,bueno
15,32,F,1,propio,moderado,1282,24,radio/TV,malo
16,53,M,2,propio,NA,2424,24,radio/TV,bueno
17,25,M,2,propio,NA,8072,30,negocios,bueno
18,44,F,3,gratis,poco,12579,24,carro,malo
19,31,M,2,propio,casi rico,3430,24,radio/TV,bueno
20,48,M,2,propio,poco,2134,9,carro,bueno
21,44,M,2,rentado,casi rico,2647,6,radio/TV,bueno
22,48,M,1,rentado,poco,2241,10,carro,bueno
23,44,M,2,propio,moderado,1804,12,carro,bueno
24,26,M,2,propio,NA,2069,10,inmoviliario/equipo,bueno
25,36,M,1,propio,poco,1374,6,inmoviliario/equipo,bueno
26,39,M,1,propio,poco,426,6,radio/TV,bueno
27,42,F,2,rentado,rico,409,12,radio/TV,bueno
28,34,M,2,propio,poco,2415,7,radio/TV,bueno
29,63,M,2,propio,poco,6836,60,negocios,malo
30,36,M,2,propio,rico,1913,18,negocios,bueno
31,27,M,2,propio,poco,4020,24,inmoviliario/equipo,bueno
32,30,M,2,propio,moderado,5866,18,carro,bueno
33,57,M,1,rentado,NA,1264,12,negocios,bueno
34,33,F,3,propio,poco,1474,12,inmoviliario/equipo,bueno
35,25,M,1,propio,poco,4746,45,radio/TV,malo
36,31,M,2,gratis,poco,6110,48,educacion,bueno
37,37,M,2,propio,poco,2100,18,radio/TV,malo
38,37,M,2,propio,poco,1225,10,usos domesticos,bueno
39,24,M,2,propio,poco,458,9,radio/TV,bueno
40,30,M,3,propio,casi rico,2333,30,radio/TV,bueno
41,26,M,2,propio,casi rico,1158,12,radio/TV,bueno
42,44,M,1,propio,poco,6204,18,refacciones,bueno
43,24,M,2,rentado,moderado,6187,30,carro,bueno
44,58,F,1,gratis,poco,6143,48,carro,malo
45,35,F,3,propio,poco,1393,11,carro,bueno
46,39,M,2,propio,casi rico,2299,36,radio/TV,bueno
47,23,F,0,rentado,casi rico,1352,6,carro,bueno
48,39,M,1,propio,poco,7228,11,carro,bueno
49,28,F,2,propio,moderado,2073,12,radio/TV,bueno
50,29,M,1,propio,NA,2333,24,inmoviliario/equipo,bueno
51,30,M,3,propio,poco,5965,27,carro,bueno
52,25,M,2,propio,poco,1262,12,radio/TV,bueno
53,31,M,2,propio,NA,3378,18,carro,bueno
54,57,M,2,gratis,poco,2225,36,carro,malo
55,26,M,1,propio,NA,783,6,carro,bueno
56,52,M,3,propio,NA,6468,12,radio/TV,malo
57,31,F,2,propio,poco,9566,36,radio/TV,bueno
58,23,F,3,propio,poco,1961,18,carro,bueno
59,23,F,1,rentado,poco,6229,36,inmoviliario/equipo,malo
60,27,M,2,propio,poco,1391,9,negocios,bueno
61,50,M,2,propio,NA,1537,15,radio/TV,bueno
62,61,M,3,gratis,poco,1953,36,negocios,malo
63,25,M,2,propio,poco,14421,48,negocios,malo
64,26,F,2,propio,poco,3181,24,radio/TV,bueno
65,48,M,2,propio,NA,5190,27,refacciones,bueno
66,29,F,2,propio,poco,2171,12,radio/TV,bueno
67,22,M,2,propio,rico,1007,12,carro,bueno
68,37,M,2,gratis,poco,1819,36,educacion,malo
69,25,F,2,propio,NA,2394,36,radio/TV,bueno
70,30,F,2,propio,poco,8133,36,carro,bueno
71,46,M,1,rentado,NA,730,7,radio/TV,bueno
72,51,M,3,gratis,poco,1164,8,vacaciones/otros,bueno
73,41,F,1,propio,poco,5954,42,negocios,bueno
74,40,M,3,propio,NA,1977,36,educacion,malo
75,66,M,3,gratis,poco,1526,12,carro,bueno
76,34,M,2,propio,poco,3965,42,radio/TV,malo
77,51,M,2,propio,poco,4771,11,radio/TV,bueno
78,39,M,1,propio,NA,9436,54,carro,bueno
79,22,M,2,propio,poco,3832,30,inmoviliario/equipo,bueno
80,44,F,2,propio,NA,5943,24,radio/TV,malo
81,47,M,2,propio,casi rico,1213,15,radio/TV,bueno
82,24,F,1,rentado,moderado,1568,18,negocios,bueno
83,58,F,1,propio,poco,1755,24,vacaciones/otros,bueno
84,52,M,1,propio,poco,2315,10,radio/TV,bueno
85,29,F,3,propio,poco,1412,12,negocios,bueno
86,27,F,2,propio,poco,1295,18,inmoviliario/equipo,bueno
87,47,M,2,gratis,moderado,12612,36,educacion,malo
88,30,M,3,propio,moderado,2249,18,carro,bueno
89,28,M,2,propio,poco,1108,12,refacciones,malo
90,56,M,2,propio,poco,618,12,radio/TV,bueno
91,54,M,2,propio,poco,1409,12,carro,bueno
92,33,F,1,propio,NA,797,12,radio/TV,malo
93,20,M,2,rentado,NA,3617,24,inmoviliario/equipo,bueno
94,54,M,2,propio,rico,1318,12,carro,bueno
95,58,M,2,rentado,poco,15945,54,negocios,malo
96,61,F,2,propio,NA,2012,12,educacion,bueno
97,34,M,2,propio,moderado,2622,18,negocios,bueno
98,36,M,2,propio,poco,2337,36,radio/TV,bueno
99,36,M,3,rentado,NA,7057,20,carro,bueno
100,41,M,1,rentado,moderado,1469,24,carro,bueno
101,24,M,2,rentado,poco,2323,36,radio/TV,bueno
102,24,F,2,propio,poco,932,6,radio/TV,bueno
103,35,M,2,rentado,poco,1919,9,inmoviliario/equipo,bueno
104,26,M,2,rentado,NA,2445,12,carro,bueno
105,39,M,3,propio,poco,11938,24,vacaciones/otros,malo
106,39,M,3,propio,poco,6458,18,carro,malo
107,32,M,2,propio,poco,6078,12,carro,bueno
108,30,F,2,propio,NA,7721,24,inmoviliario/equipo,bueno
109,35,M,2,propio,casi rico,1410,14,negocios,bueno
110,31,M,2,propio,moderado,1449,6,negocios,bueno
111,23,F,2,rentado,poco,392,15,educacion,bueno
112,28,M,1,rentado,poco,6260,18,carro,bueno
113,25,F,2,propio,poco,7855,36,carro,malo
114,35,M,2,propio,casi rico,1680,12,radio/TV,bueno
115,47,M,2,propio,NA,3578,48,radio/TV,bueno
116,30,F,3,propio,NA,7174,42,radio/TV,malo
117,27,F,2,rentado,NA,2132,10,inmoviliario/equipo,bueno
118,23,F,2,propio,casi rico,4281,33,inmoviliario/equipo,malo
119,36,M,3,propio,casi rico,2366,12,carro,bueno
120,25,F,2,propio,poco,1835,21,radio/TV,malo
121,41,F,3,rentado,poco,3868,24,carro,bueno
122,24,M,1,rentado,poco,1768,12,inmoviliario/equipo,bueno
123,63,M,2,gratis,poco,781,10,carro,bueno
124,27,F,2,rentado,NA,1924,18,inmoviliario/equipo,malo
125,30,M,2,propio,poco,2121,12,carro,bueno
126,40,M,1,propio,poco,701,12,radio/TV,bueno
127,30,M,2,propio,poco,639,12,refacciones,malo
128,34,M,3,propio,poco,1860,12,carro,bueno
129,29,F,2,propio,poco,3499,12,carro,malo
130,24,F,2,propio,NA,8487,48,carro,bueno
131,29,M,2,propio,poco,6887,36,educacion,malo
132,27,M,1,propio,poco,2708,15,inmoviliario/equipo,bueno
133,47,M,2,gratis,poco,1984,18,inmoviliario/equipo,bueno
134,21,F,2,propio,moderado,10144,60,radio/TV,bueno
135,38,F,2,propio,NA,1240,12,radio/TV,bueno
136,27,M,2,propio,rico,8613,27,carro,bueno
137,66,M,1,propio,casi rico,766,12,radio/TV,malo
138,35,M,2,propio,NA,2728,15,radio/TV,bueno
139,44,F,1,rentado,poco,1881,12,radio/TV,bueno
140,27,M,0,propio,rico,709,6,carro,bueno
141,30,F,3,propio,poco,4795,36,radio/TV,bueno
142,27,M,3,propio,poco,3416,27,radio/TV,bueno
143,22,M,2,propio,poco,2462,18,inmoviliario/equipo,malo
144,23,F,2,propio,poco,2288,21,inmoviliario/equipo,bueno
145,30,M,2,propio,moderado,3566,48,negocios,bueno
146,39,F,2,propio,poco,860,6,carro,bueno
147,51,F,2,propio,moderado,682,12,carro,bueno
148,28,M,2,propio,poco,5371,36,inmoviliario/equipo,bueno
149,46,M,2,propio,rico,1582,18,radio/TV,bueno
150,42,M,2,gratis,moderado,1346,6,radio/TV,bueno
151,38,M,2,propio,poco,1924,10,radio/TV,bueno
152,24,M,2,propio,poco,5848,36,radio/TV,bueno
153,29,F,2,rentado,rico,7758,24,carro,bueno
154,36,M,3,rentado,moderado,6967,24,negocios,bueno
155,20,F,2,rentado,poco,1282,12,inmoviliario/equipo,malo
156,48,M,2,propio,moderado,1288,9,refacciones,bueno
157,45,M,1,propio,poco,339,12,educacion,bueno
158,38,M,2,propio,moderado,3512,24,carro,bueno
159,34,M,1,propio,NA,1898,6,radio/TV,bueno
160,36,M,2,propio,moderado,2872,24,radio/TV,bueno
161,30,F,2,propio,poco,1055,18,carro,bueno
162,36,M,2,propio,casi rico,1262,15,usos domesticos,bueno
163,70,M,3,gratis,poco,7308,10,carro,bueno
164,36,M,2,propio,casi rico,909,36,carro,bueno
165,32,M,2,propio,casi rico,2978,6,inmoviliario/equipo,bueno
166,33,F,2,propio,poco,1131,18,inmoviliario/equipo,malo
167,20,F,2,propio,rico,1577,11,inmoviliario/equipo,bueno
168,25,F,2,rentado,poco,3972,24,inmoviliario/equipo,bueno
169,31,M,2,propio,poco,1935,24,negocios,malo
170,33,M,2,rentado,poco,950,15,carro,malo
171,26,F,2,propio,poco,763,12,inmoviliario/equipo,bueno
172,34,F,3,propio,poco,2064,24,inmoviliario/equipo,malo
173,33,M,2,propio,poco,1414,8,radio/TV,bueno
174,26,M,2,propio,poco,3414,21,educacion,malo
175,53,F,3,propio,NA,7485,30,carro,malo
176,42,M,2,propio,poco,2577,12,inmoviliario/equipo,bueno
177,52,M,2,propio,casi rico,338,6,radio/TV,bueno
178,31,M,3,rentado,poco,1963,12,radio/TV,bueno
179,65,M,2,propio,poco,571,21,carro,bueno
180,28,M,2,propio,poco,9572,36,negocios,malo
181,30,M,3,propio,poco,4455,36,negocios,malo
182,40,M,1,propio,NA,1647,21,carro,malo
183,50,M,2,propio,rico,3777,24,inmoviliario/equipo,bueno
184,36,M,2,propio,poco,884,18,carro,malo
185,31,M,2,propio,poco,1360,15,radio/TV,bueno
186,74,F,3,gratis,poco,5129,9,carro,malo
187,68,M,0,gratis,poco,1175,16,carro,bueno
188,20,M,2,propio,moderado,674,12,radio/TV,malo
189,33,F,2,propio,poco,3244,18,inmoviliario/equipo,bueno
190,54,M,3,propio,rico,4591,24,negocios,malo
191,34,M,1,gratis,moderado,3844,48,negocios,malo
192,36,M,2,propio,poco,3915,27,negocios,malo
193,29,M,2,rentado,poco,2108,6,radio/TV,bueno
194,21,M,2,rentado,moderado,3031,45,radio/TV,malo
195,34,F,3,propio,poco,1501,9,educacion,malo
196,28,F,2,propio,poco,1382,6,radio/TV,bueno
197,27,F,2,rentado,moderado,951,12,inmoviliario/equipo,malo
198,36,M,2,gratis,NA,2760,24,carro,bueno
199,40,M,3,propio,poco,4297,18,inmoviliario/equipo,malo
200,52,M,2,propio,casi rico,936,9,educacion,bueno
201,27,M,1,propio,poco,1168,12,carro,bueno
202,26,M,2,propio,poco,5117,27,negocios,bueno
203,21,M,2,rentado,poco,902,12,educacion,malo
204,38,M,1,propio,poco,1495,12,carro,bueno
205,38,M,3,gratis,poco,10623,30,carro,bueno
206,43,M,2,propio,poco,1935,12,inmoviliario/equipo,bueno
207,26,M,2,propio,poco,1424,12,usos domesticos,bueno
208,21,M,1,propio,poco,6568,24,negocios,bueno
209,55,M,2,propio,rico,1413,12,carro,bueno
210,33,M,2,propio,NA,3074,9,radio/TV,bueno
211,45,F,1,propio,NA,3835,36,radio/TV,bueno
212,50,M,2,propio,poco,5293,27,negocios,malo
213,66,M,3,propio,poco,1908,30,negocios,malo
214,51,M,2,propio,NA,3342,36,radio/TV,bueno
215,39,F,1,propio,NA,932,6,educacion,bueno
216,31,M,2,propio,poco,3104,18,negocios,bueno
217,23,M,2,propio,poco,3913,36,radio/TV,bueno
218,24,M,1,rentado,poco,3021,24,inmoviliario/equipo,bueno
219,64,F,2,propio,poco,1364,10,carro,bueno
220,26,M,1,propio,poco,625,12,radio/TV,bueno
221,23,F,2,rentado,NA,1200,12,educacion,bueno
222,30,M,2,propio,poco,707,12,radio/TV,bueno
223,32,M,2,propio,NA,2978,24,negocios,bueno
224,30,M,2,propio,poco,4657,15,carro,bueno
225,27,M,2,propio,poco,2613,36,refacciones,bueno
226,27,M,2,propio,rico,10961,48,radio/TV,malo
227,53,M,3,gratis,poco,7865,12,inmoviliario/equipo,malo
228,22,M,2,propio,poco,1478,9,radio/TV,malo
229,22,M,2,gratis,poco,3149,24,inmoviliario/equipo,bueno
230,26,M,2,propio,poco,4210,36,radio/TV,malo
231,51,M,1,gratis,casi rico,2507,9,carro,bueno
232,35,M,2,propio,moderado,2141,12,radio/TV,bueno
233,25,M,1,propio,poco,866,18,radio/TV,bueno
234,42,M,1,propio,poco,1544,4,radio/TV,bueno
235,30,M,3,propio,poco,1823,24,radio/TV,malo
236,23,M,0,propio,NA,14555,6,carro,malo
237,61,M,1,rentado,moderado,2767,21,negocios,malo
238,35,F,2,propio,poco,1291,12,radio/TV,bueno
239,39,M,2,propio,poco,2522,30,radio/TV,bueno
240,29,F,2,propio,NA,915,24,carro,malo
241,51,M,2,propio,poco,1595,6,radio/TV,bueno
242,24,M,2,gratis,poco,4605,48,carro,malo
243,27,F,2,propio,poco,1185,12,negocios,bueno
244,35,F,1,propio,casi rico,3447,12,educacion,bueno
245,25,M,2,propio,poco,1258,24,negocios,bueno
246,52,M,2,propio,poco,717,12,radio/TV,bueno
247,35,M,2,rentado,moderado,1204,6,carro,bueno
248,26,M,2,propio,poco,1925,24,inmoviliario/equipo,bueno
249,22,F,2,rentado,poco,433,18,radio/TV,malo
250,39,F,1,propio,rico,666,6,carro,bueno
251,46,F,1,propio,poco,2251,12,inmoviliario/equipo,bueno
252,24,F,2,propio,poco,2150,30,carro,malo
253,35,M,2,propio,moderado,4151,24,inmoviliario/equipo,bueno
254,24,M,2,propio,NA,2030,9,inmoviliario/equipo,bueno
255,27,M,1,propio,NA,7418,60,radio/TV,bueno
256,35,M,1,propio,poco,2684,24,radio/TV,bueno
257,29,M,2,gratis,poco,2149,12,radio/TV,malo
258,23,F,2,propio,moderado,3812,15,carro,bueno
259,57,F,1,propio,moderado,1154,11,radio/TV,bueno
260,27,M,2,propio,poco,1657,12,inmoviliario/equipo,bueno
261,55,F,2,propio,poco,1603,24,radio/TV,bueno
262,36,M,3,gratis,poco,5302,18,carro,bueno
263,57,F,1,gratis,poco,2748,12,educacion,bueno
264,32,M,1,propio,poco,1231,10,carro,bueno
265,37,M,2,propio,poco,802,15,radio/TV,malo
266,36,M,2,propio,NA,6304,36,negocios,bueno
267,38,F,2,propio,poco,1533,24,radio/TV,bueno
268,45,M,3,propio,poco,8978,14,carro,malo
269,25,M,2,propio,NA,999,24,radio/TV,bueno
270,32,M,2,propio,NA,2662,18,carro,bueno
271,37,F,2,rentado,casi rico,1402,12,inmoviliario/equipo,bueno
272,36,M,3,gratis,NA,12169,48,carro,bueno
273,28,M,2,propio,poco,3060,48,radio/TV,malo
274,34,M,1,propio,poco,11998,30,refacciones,malo
275,32,M,2,propio,poco,2697,9,radio/TV,bueno
276,26,F,2,propio,poco,2404,18,radio/TV,bueno
277,49,M,1,propio,NA,1262,12,inmoviliario/equipo,bueno
278,32,F,2,propio,poco,4611,6,inmoviliario/equipo,malo
279,29,M,3,rentado,moderado,1901,24,radio/TV,bueno
280,23,M,2,rentado,rico,3368,15,carro,bueno
281,50,M,2,propio,poco,1574,12,inmoviliario/equipo,bueno
282,49,M,1,propio,NA,1445,18,radio/TV,bueno
283,63,M,2,propio,NA,1520,15,inmoviliario/equipo,bueno
284,37,M,2,propio,moderado,3878,24,carro,bueno
285,35,F,1,propio,poco,10722,47,carro,bueno
286,26,M,2,propio,poco,4788,48,carro,bueno
287,31,M,3,gratis,moderado,7582,48,vacaciones/otros,bueno
288,49,F,2,propio,poco,1092,12,radio/TV,bueno
289,48,M,2,propio,poco,1024,24,radio/TV,malo
290,26,M,2,propio,poco,1076,12,negocios,bueno
291,28,M,3,rentado,poco,9398,36,carro,malo
292,44,F,3,gratis,poco,6419,24,carro,bueno
293,56,M,2,gratis,poco,4796,42,carro,bueno
294,46,M,3,propio,NA,7629,48,negocios,bueno
295,26,F,2,propio,poco,9960,48,inmoviliario/equipo,malo
296,20,F,2,rentado,NA,4675,12,carro,bueno
297,45,M,1,propio,NA,1287,10,carro,bueno
298,43,M,2,propio,poco,2515,18,inmoviliario/equipo,bueno
299,32,M,2,propio,rico,2745,21,inmoviliario/equipo,bueno
300,54,F,0,propio,poco,672,6,carro,bueno
301,42,F,2,propio,poco,3804,36,radio/TV,malo
302,37,M,1,propio,NA,1344,24,carro,malo
303,49,M,2,propio,poco,1038,10,carro,bueno
304,44,M,2,gratis,casi rico,10127,48,carro,malo
305,33,M,2,propio,rico,1543,6,inmoviliario/equipo,bueno
306,24,F,1,rentado,NA,4811,30,carro,bueno
307,33,M,1,propio,moderado,727,12,radio/TV,malo
308,24,F,2,propio,poco,1237,8,inmoviliario/equipo,malo
